日期,成交商品件数
2018-12-14,67045
2018-12-15,85557
2018-12-16,86735
2018-12-17,55809
2018-12-18,116023
2018-12-19,81362
2018-12-20,108681
2018-12-21,95104
2018-12-22,82591
2018-12-23,77006
2018-12-24,115818
2018-12-25,179531
2018-12-26,117892
2018-12-27,98606
2018-12-28,133757
2018-12-29,136598
2018-12-30,92300
2018-12-31,147368
2019-01-01,129541
2019-01-02,138115
2019-01-03,107841
2019-01-04,134332
2019-01-05,159193
2019-01-06,151926
2019-01-07,179560
2019-01-08,196197
2019-01-09,452784
2019-01-10,277375
2019-01-11,196142
2019-01-12,175593
2019-01-13,181899
2019-01-14,182553
2019-01-15,289378
2019-01-16,338971
2019-01-17,305630
2019-01-18,259296
2019-01-19,189176
2019-01-20,208826
2019-01-21,243177
2019-01-22,240890
2019-01-23,277088
2019-01-24,243929
2019-01-25,294845
2019-01-26,369830
2019-01-27,449871
2019-01-28,354561
2019-01-29,306519
2019-01-30,271122
2019-01-31,188310
2019-02-01,114656
2019-02-02,99733
2019-02-03,35625
2019-02-04,97858
2019-02-05,106310
2019-02-06,41375
2019-02-07,40654
2019-02-08,46022
2019-02-09,45400
2019-02-10,36370
2019-02-11,37100
2019-02-12,42790
2019-02-13,48777
2019-02-14,59522
2019-02-15,51059
2019-02-16,52807
2019-02-17,38622
2019-02-18,42036
2019-02-19,39522
2019-02-20,43316
2019-02-21,70350
2019-02-22,59679
2019-02-23,49774
2019-02-24,60040
2019-02-25,54351
2019-02-26,84001
2019-02-27,51781
2019-02-28,48015
2019-03-01,54838
2019-03-02,77759
2019-03-03,55732
2019-03-04,54145
2019-03-05,78783
2019-03-06,85559
2019-03-07,52363
2019-03-08,46410
2019-03-09,48430
2019-03-10,38470
2019-03-11,40008
2019-03-12,42165
2019-03-13,43306
2019-03-14,55008
2019-03-15,59851
2019-03-16,38769
2019-03-17,36195
2019-03-18,31032
2019-03-19,38844
2019-03-20,41004
2019-03-21,53697
2019-03-22,63300
2019-03-23,65713
2019-03-24,69815
2019-03-25,57208
2019-03-26,59929
2019-03-27,63252
2019-03-28,63169
2019-03-29,45874
2019-03-30,50237
2019-03-31,43191
2019-04-01,45327
2019-04-02,51206
2019-04-03,44552
2019-04-04,53590
2019-04-05,50762
2019-04-06,42125
2019-04-07,25860
2019-04-08,39206
2019-04-09,53804
2019-04-10,43635
2019-04-11,47320
2019-04-12,54075
2019-04-13,47389
2019-04-14,45090
2019-04-15,47921
2019-04-16,66612
2019-04-17,78570
2019-04-18,71428
2019-04-19,54532
2019-04-20,44925
2019-04-21,47232
2019-04-22,71870
2019-04-23,78937
2019-04-24,53570
2019-04-25,64676
2019-04-26,60674
2019-04-27,70164
2019-04-28,95966
2019-04-29,54947
2019-04-30,38033
2019-05-01,42129
2019-05-02,35707
2019-05-03,37444
2019-05-04,37131
2019-05-05,39671
2019-05-06,71643
2019-05-07,83607
2019-05-08,54222
2019-05-09,31564
2019-05-10,32092
2019-05-11,34490
2019-05-12,34413
2019-05-13,34634
2019-05-14,30879
2019-05-15,29745
2019-05-16,64951
2019-05-17,68243
2019-05-18,54506
2019-05-19,35130
2019-05-20,44294
2019-05-21,39904
2019-05-22,26587
2019-05-23,22535
2019-05-24,19479
2019-05-25,41614
2019-05-26,22602
2019-05-27,29680
2019-05-28,43027
2019-05-29,33936
2019-05-30,28540
2019-05-31,25013
2019-06-01,64101
2019-06-02,54678
2019-06-03,32233
2019-06-04,35941
2019-06-05,40117
2019-06-06,31139
2019-06-07,31694
2019-06-08,36928
2019-06-09,22604
2019-06-10,32625
2019-06-11,41091
2019-06-12,48130
2019-06-13,101533
2019-06-14,57359
2019-06-15,40230
2019-06-16,139005
2019-06-17,130772
2019-06-18,373722
2019-06-19,80458
2019-06-20,40955
2019-06-21,31450
2019-06-22,28220
2019-06-23,23818
2019-06-24,28714
2019-06-25,24656
2019-06-26,27289
2019-06-27,28844
2019-06-28,20324
2019-06-29,27988
2019-06-30,29448
2019-07-01,39569
2019-07-02,31563
2019-07-03,45050
2019-07-04,49294
2019-07-05,41886
2019-07-06,26617
2019-07-07,27771
2019-07-08,49845
2019-07-09,35866
2019-07-10,60334
2019-07-11,92626
2019-07-12,28813
2019-07-13,28894
2019-07-14,28156
2019-07-15,45586
2019-07-16,53282
2019-07-17,42416
2019-07-18,41154
2019-07-19,25735
2019-07-20,26397
2019-07-21,26833
2019-07-22,27523
2019-07-23,24849
2019-07-24,25006
2019-07-25,34634
2019-07-26,48257
2019-07-27,45641
2019-07-28,62059
2019-07-29,60692
2019-07-30,44044
2019-07-31,40814
2019-08-01,26011
2019-08-02,31202
2019-08-03,39717
2019-08-04,38033
2019-08-05,62075
2019-08-06,42151
2019-08-07,42055
2019-08-08,64834
2019-08-09,72053
2019-08-10,59372
2019-08-11,67191
2019-08-12,46375
2019-08-13,45081
2019-08-14,34192
2019-08-15,32611
2019-08-16,39702
2019-08-17,36423
2019-08-18,79349
2019-08-19,63780
2019-08-20,65425
2019-08-21,50158
2019-08-22,44560
2019-08-23,40624
2019-08-24,51036
2019-08-25,61881
2019-08-26,53151
2019-08-27,56609
2019-08-28,127338
2019-08-29,100684
2019-08-30,66777
2019-08-31,53340
2019-09-01,44379
2019-09-02,51265
2019-09-03,76506
2019-09-04,118300
2019-09-05,108144
2019-09-06,106722
2019-09-07,103711
2019-09-08,90816
2019-09-09,202174
2019-09-10,132359
2019-09-11,81919
2019-09-12,60704
2019-09-13,68890
2019-09-14,56540
2019-09-15,39532
2019-09-16,50545
2019-09-17,55202
2019-09-18,62583
2019-09-19,51986
2019-09-20,67123
2019-09-21,80918
2019-09-22,74700
2019-09-23,69221
2019-09-24,47340
2019-09-25,60136
2019-09-26,47934
2019-09-27,49884
2019-09-28,48035
2019-09-29,61365
2019-09-30,54419
2019-10-01,39337
2019-10-02,38070
2019-10-03,48964
2019-10-04,50209
2019-10-05,60524
2019-10-06,53735
2019-10-07,54094
2019-10-08,70369
2019-10-09,75563
2019-10-10,91336
2019-10-11,82624
2019-10-12,68450
2019-10-13,76849
2019-10-14,66370
2019-10-15,93039
2019-10-16,60956
2019-10-17,78284
2019-10-18,47459
2019-10-19,57847
2019-10-20,51897
2019-10-21,61348
2019-10-22,86243
2019-10-23,82983
2019-10-24,83881
2019-10-25,60937
2019-10-26,71452
2019-10-27,71710
2019-10-28,98679
2019-10-29,84250
2019-10-30,53896
2019-10-31,45195
2019-11-01,113152
2019-11-02,107105
2019-11-03,99108
2019-11-04,98410
2019-11-05,106569
2019-11-06,126042
2019-11-07,130716
2019-11-08,153400
2019-11-09,151503
2019-11-10,252733
2019-11-11,624090
2019-11-12,141983
2019-11-13,109548
2019-11-14,96757
2019-11-15,90313
2019-11-16,62388
2019-11-17,62556
2019-11-18,84979
2019-11-19,80004
2019-11-20,51740
2019-11-21,45516
2019-11-22,45670
2019-11-23,60691
2019-11-24,89033
2019-11-25,68937
2019-11-26,69587
2019-11-27,71514
2019-11-28,128955
2019-11-29,97845
2019-11-30,88669
2019-12-01,57226
2019-12-02,111116
2019-12-03,75459
2019-12-04,94438
2019-12-05,106611
2019-12-06,74572
2019-12-07,56884
2019-12-08,46248
2019-12-09,56402
2019-12-10,54348
2019-12-11,97087
2019-12-12,277750
2019-12-13,53943
2019-12-14,44371
2019-12-15,49286
2019-12-16,41450
2019-12-17,71237
2019-12-18,53989
2019-12-19,46187
2019-12-20,40311
2019-12-21,45298
2019-12-22,44286
2019-12-23,53722
2019-12-24,71917
2019-12-25,73992
2019-12-26,93777
2019-12-27,96146
2019-12-28,61824
2019-12-29,96990
2019-12-30,90986
2019-12-31,103423
2020-01-01,139312
2020-01-02,144309
2020-01-03,134105
2020-01-04,178551
2020-01-05,158771
2020-01-06,194166
2020-01-07,204369
2020-01-08,233994
2020-01-09,203570
2020-01-10,146762
2020-01-11,783855
2020-01-12,281644
2020-01-13,277735
2020-01-14,214409
2020-01-15,192071
2020-01-16,225794
2020-01-17,245912
2020-01-18,204781
2020-01-19,150293
2020-01-20,137213
2020-01-21,113715
2020-01-22,72857
2020-01-23,41123
2020-01-24,23755
2020-01-25,36996
2020-01-26,49173
2020-01-27,57574
2020-01-28,56089
2020-01-29,52112
2020-01-30,63031
2020-01-31,70324
2020-02-01,86199
2020-02-02,78518
2020-02-03,67490
2020-02-04,69372
2020-02-05,76616
2020-02-06,77885
2020-02-07,77497
2020-02-08,88481
2020-02-09,74249
2020-02-10,62877
2020-02-11,67451
2020-02-12,46795
2020-02-13,47715
2020-02-14,83007
2020-02-15,83709
2020-02-16,71436
2020-02-17,80925
2020-02-18,83509
2020-02-19,48631
2020-02-20,45308
2020-02-21,31228
2020-02-22,43409
2020-02-23,43325
2020-02-24,59129
2020-02-25,51443
2020-02-26,41948
2020-02-27,44328
2020-02-28,55368
2020-02-29,67311
2020-03-01,49033
2020-03-02,59086
2020-03-03,51117
2020-03-04,51709
2020-03-05,45810
2020-03-06,47968
2020-03-07,49129
2020-03-08,59550
2020-03-09,55652
2020-03-10,53634
2020-03-11,78251
2020-03-12,82466
2020-03-13,85939
2020-03-14,70665
2020-03-15,67498
2020-03-16,55222
2020-03-17,87363
2020-03-18,82578
2020-03-19,97059
2020-03-20,83315
2020-03-21,102788
2020-03-22,108286
2020-03-23,51285
2020-03-24,76396
2020-03-25,95182
2020-03-26,94989
2020-03-27,66712
2020-03-28,62671
2020-03-29,95462
2020-03-30,78732
2020-03-31,74025
2020-04-01,69492
2020-04-02,56069
2020-04-03,45614
2020-04-04,76894
2020-04-05,64537
2020-04-06,57173
2020-04-07,47106
2020-04-08,55956
2020-04-09,38021
2020-04-10,49544
2020-04-11,48679
2020-04-12,43253
2020-04-13,47993
2020-04-14,42905
2020-04-15,61860
2020-04-16,44037
2020-04-17,42716
2020-04-18,48293
2020-04-19,35462
2020-04-20,56485
2020-04-21,66824
2020-04-22,67561
2020-04-23,45223
2020-04-24,48701
2020-04-25,108507
